Departments,departmentScore,student_GPAX,Science,Mathematics,Biology,Chemistry,Physics,Computer,English
Information Technology and Digital Communication,3,3.3,3,3,3,3,1.9,3,3
Information Technology and Digital Communication,3.1,2.96,3,3,0,0,0,3.5,2.5
Information Technology and Digital Communication,3.8,3.8,2.5,3,0,0,0,4,4
Information Technology and Digital Communication,4,3.74,4,4,4,4,4,4,4
Information Technology and Digital Communication,3.5,3.4,3,3,3,3,2.5,4,3
Information Technology and Digital Communication,3.602,3.17,3.56,3.56,3.68,3,3.34,3.56,3.7
Information Technology and Digital Communication,3.5,3.5,3.5,3,0,0,0,4,3
Information Technology and Digital Communication,2.806,2.97,2.79,2.69,2.79,2.79,2.79,2.79,2.91
Information Technology and Digital Communication,4,3.81,4,4,0,0,0,4,4
Information Technology and Digital Communication,2.15,2.5,1,2,1,1,1.5,2,2.5
Information Technology and Digital Communication,3.2,3.63,3.5,4,0,0,0,3,3
Information Technology and Digital Communication,3,3.62,4,2,0,0,0,4,2
Information Technology and Digital Communication,3,3,2.5,3,3,2,2.5,3,3
Information Technology and Digital Communication,1.458,3.12,2.99,2.58,0,0,0,0,3.14
Information Technology and Digital Communication,1.838,3.64,3.53,3.7,0,0,0,0,3.66
Information Technology and Digital Communication,3.634,3.78,3.63,3.72,3,3,3,3.5,3.8
Information Technology and Digital Communication,3.5,3.05,3,3.5,3,3,2.5,3.5,3.5
Information Technology and Digital Communication,3.15,3.77,3,3,3,2.5,3,3,3.5
Information Technology and Digital Communication,4,3.95,3.5,4,0,0,0,4,4
Information Technology and Digital Communication,3.833,3.79,3.82,3.75,0,0,0,3.82,3.91
Information Technology and Digital Communication,3.9,3.5,3,3.5,3,3,3.5,4,4
Information Technology and Digital Communication,3.948,3.83,4,3.83,3.16,3.95,3.66,4,3.94
Information Technology and Digital Communication,3.896,3.46,3.15,3.48,3.15,3,3,4,4
Information Technology and Digital Communication,3.29,3.31,2.9,3.2,0,0,0,3.5,3
Information Technology and Digital Communication,1.77,3.53,3.45,3,0,0,0,0,3.9
Information Technology and Digital Communication,3.682,3.41,3.24,3.16,0,0,0,4,3.5
Information Technology and Digital Communication,3.8,3.5,2,3,3,3,3,4,4
Information Technology and Digital Communication,1.3,2.98,3,2,0,0,0,0,3
Information Technology and Digital Communication,3.4,3.47,2.5,3,0,0,0,3.5,3.5
Information Technology and Digital Communication,3.177,3.29,3.21,3.27,2,2,2,3,3.41
Information Technology and Digital Communication,3.279,3.24,3.28,3.41,0,0,0,3.28,3.19
Information Technology and Digital Communication,3.65,3.33,3,3,0,0,0,4,3.5
Information Technology and Digital Communication,3.766,3.34,3.01,3.46,2.8,3.25,2.1,4,3.58
Information Technology and Digital Communication,3.936,3.88,3.75,3.83,0,0,0,4,3.9
Information Technology and Digital Communication,3.47,3.36,3,2.1,3,2,2,4,3.5
Information Technology and Digital Communication,3.952,3.87,4,3.76,4,3.75,3.67,4,4
Information Technology and Digital Communication,3.561,3.59,3.33,3.78,3.5,3.52,3.2,3.33,3.8
Information Technology and Digital Communication,3.35,3.67,2.5,3,0,0,0,4,2.5
Applied Physics,0.4375,3.2,3.05,1.75,0,0,0,3.05,3.15
Applied Physics,3.815,3.5,3.75,3.26,3,4,4,3.75,3.4
Applied Physics,0.7075,3.21,3.56,2.83,0,0,0,0,2.87
Computer Science,3.1,3.3,3.32,2.5,0,0,0,3.32,3.45
Computer Science,3.659,3.68,3.85,3.33,3.5,4,4,4,3.3
Computer Science,3.446,3.23,3.12,2.52,4,1.5,2.5,4,3.45
Computer Science,2.85,3.71,2.5,2.5,2.5,2.5,2.5,3,3
Computer Science,3.476,3.59,3.62,3.3,3.66,3.75,3.58,3.62,3.38
Computer Science,3.61,3.53,3.58,3.25,3.37,3.12,3.64,3.91,3.4
Computer Science,3.4,2.9,2.64,3.5,2.5,3,2,3.5,3
Computer Science,3.022,2.98,2.77,3.16,2.58,2.5,2.51,3.16,2.47
Computer Science,2.3,3.39,3.1,2.5,2.4,2.3,2.2,2.5,1.5
Computer Science,3.394,3.27,3.6,2.76,3.6,3.6,3.6,4,2.83
Computer Science,3.966,3.93,3.92,4,3.66,4,4,4,3.83
Computer Science,3.23,3.25,2.99,3.52,2.81,3.5,2.75,3,3.37
Computer Science,3.653,3.69,3.6,3.69,3.46,3.27,3.17,3.6,3.73
Computer Science,3.856,3.78,3.65,3.86,4,3.92,2.92,3.92,3.69
Computer Science,3.753,3.46,3.13,3.21,3.66,2.75,2.08,4,3.95
Computer Science,3.509,2.95,2.39,2.88,2.39,2.39,2.39,3.91,3.45
Computer Science,3.554,2.95,2.39,2.88,2.41,1.92,1.97,4,3.45
Computer Science,3.961,3.9,3.91,3.87,3.83,4,3.91,4,4
