Department,GPAX_threshold,Science_GPAX_threshold,Math_GPAX_threshold,Biology_GPAX_threshold,Chemistry_GPAX_threshold,Physics_GPAX_threshold,Computer_GPAX_threshold,English_GPAX_threshold
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.8,2.5,3,0,0,0,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.74,4,4,4,4,4,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.4,3,3,3,3,2.5,4,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.17,3.56,3.56,3.68,3,3.34,3.56,3.7
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.98,0,0,0,0,0,0,0
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.5,3.5,3,0,0,0,4,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.97,2.79,2.69,2.79,2.79,2.79,2.79,2.91
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.23,0,3,0,0,0,4,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,0,0,3.5,0,0,0,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.81,4,4,0,0,0,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.64,0,2,0,0,0,2,1.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.5,1,2,1,1,1.5,2,2.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.63,3.5,4,0,0,0,3,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.62,4,2,0,0,0,4,2
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.59,0,3.5,0,0,0,3,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3,2.5,3,3,2,2.5,3,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.12,2.99,2.58,0,0,0,0,3.14
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.64,3.53,3.7,0,0,0,0,3.66
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.7,0,3.7,0,0,0,4,3.7
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.32,0,3.6,3,3,3,4,3.12
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.7,0,4,0,0,0,4,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.78,3.63,3.72,3,3,3,3.5,3.8
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.61,0,3.5,3,2.5,3,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.05,3,3.5,3,3,2.5,3.5,3.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.77,3,3,3,2.5,3,3,3.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.79,0,4,0,0,0,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.95,3.5,4,0,0,0,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.79,3.82,3.75,0,0,0,3.82,3.91
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.5,3,3.5,3,3,3.5,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.83,4,3.83,3.16,3.95,3.66,4,3.94
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.46,3.15,3.48,3.15,3,3,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.31,2.9,3.2,0,0,0,3.5,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.53,3.45,3,0,0,0,0,3.9
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.41,3.24,3.16,0,0,0,4,3.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.5,2,3,3,3,3,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.98,3,2,0,0,0,0,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.43,0,2.5,0,0,0,3.5,2
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.47,2.5,3,0,0,0,3.5,3.5
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.29,3.21,3.27,2,2,2,3,3.41
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.24,3.28,3.41,0,0,0,3.28,3.19
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.33,3,3,0,0,0,4,3.5
